%Index, Time (s), xGaze (pixels), yGaze (pixels) 
8,78394984.000,718,484
9,78395056.000,708,442
10,78395120.000,602,380
11,78395176.000,325,210
12,78395208.000,412,223
13,78395296.000,955,363
14,78395360.000,1185,432
15,78395440.000,1182,442
16,78395512.000,1176,466
17,78395568.000,1168,449
18,78395640.000,1178,445
19,78395720.000,1165,462
20,78395776.000,1149,460
21,78395856.000,1150,455
22,78395928.000,1162,459
23,78395992.000,1154,467
24,78396048.000,1164,506
25,78396112.000,1154,551
26,78396184.000,1144,529
27,78396240.000,1159,509
28,78396320.000,1168,515
29,78396376.000,1154,502
30,78396440.000,1177,470
31,78396496.000,1212,463
32,78396560.000,1240,473
33,78396616.000,1250,474
34,78396696.000,1283,442
35,78396768.000,1299,422
36,78396832.000,1288,413
37,78396920.000,1257,417
38,78397000.000,1250,412
39,78397072.000,1254,399
40,78397128.000,1252,420
41,78397192.000,1256,401
42,78397248.000,1247,416
43,78397312.000,853,206
44,78397368.000,327,-16
45,78397432.000,160,-74
46,78397504.000,145,21
47,78397560.000,124,6
48,78397640.000,105,-14
49,78397712.000,46,-34
50,78397808.000,384,308
51,78397864.000,521,456
52,78397912.000,496,432
53,78397984.000,491,401
54,78398056.000,559,393
55,78398120.000,552,387
56,78398200.000,524,407
57,78398272.000,518,393
58,78398328.000,520,399
59,78398392.000,527,410
60,78398464.000,515,412
61,78398536.000,522,409
62,78398600.000,520,425
63,78398656.000,512,412
64,78398736.000,495,399
65,78398808.000,482,409
66,78398872.000,479,400
67,78398928.000,462,393
68,78399008.000,460,399
69,78399080.000,464,383
70,78399136.000,462,393
71,78399216.000,453,387
72,78399288.000,450,414
73,78399368.000,465,414
74,78399408.000,488,400
75,78399480.000,504,407
76,78399544.000,514,396
77,78399600.000,510,385
78,78399680.000,516,419
79,78399736.000,512,410
80,78399816.000,519,422
81,78399888.000,526,430
82,78399976.000,515,375
83,78400040.000,512,387
84,78400112.000,514,404
85,78400192.000,512,407
86,78400248.000,507,401
87,78400312.000,504,399
88,78400368.000,519,399
89,78400432.000,509,365
90,78400456.000,497,315
91,78400456.000,497,315
92,78400456.000,497,315
93,78400712.000,476,134
94,78400760.000,469,124
95,78400832.000,421,47
96,78400912.000,402,25
97,78400968.000,409,13
98,78401032.000,423,6
99,78401088.000,433,7
100,78401152.000,458,13
101,78401208.000,566,19
102,78401288.000,664,49
103,78401344.000,687,66
104,78401400.000,712,89
105,78401464.000,823,195
106,78401504.000,841,199
107,78401584.000,904,239
108,78401664.000,932,244
109,78401736.000,959,280
110,78401808.000,973,248
111,78401872.000,975,256
112,78401928.000,970,281
113,78402016.000,978,266
114,78402096.000,991,244
115,78402152.000,1173,180
116,78402224.000,1310,129
117,78402288.000,1323,156
118,78402360.000,1308,144
119,78402408.000,1302,179
120,78402488.000,1291,205
121,78402560.000,1289,194
122,78402616.000,1289,198
123,78402680.000,1278,214
124,78402744.000,1275,192
125,78402816.000,1277,212
126,78402896.000,1251,201
127,78402952.000,1238,245
128,78403008.000,1242,246
129,78403072.000,1240,243
130,78403144.000,1254,238
131,78403160.000,1266,237
132,78403160.000,1266,237
133,78403352.000,1230,176
134,78403416.000,1292,234
135,78403456.000,1300,242
136,78403552.000,1324,235
137,78403608.000,1352,231
138,78403608.000,1352,231
139,78403608.000,1352,231
140,78403800.000,1365,97
141,78403864.000,1428,130
142,78403936.000,1435,115
143,78404000.000,1458,86
144,78404056.000,1451,72
145,78404056.000,1451,72
146,78404056.000,1451,72
147,78404264.000,1533,162
148,78404344.000,1568,191
149,78404424.000,1585,186
150,78404480.000,1670,198
151,78404536.000,1762,220
152,78404600.000,1790,238
153,78404656.000,1799,240
154,78404656.000,1799,240
155,78404656.000,1799,240
156,78404856.000,1888,346
157,78404896.000,1866,355
158,78404960.000,1857,349
159,78405032.000,1842,361
160,78405112.000,1838,344
161,78405184.000,1830,340
162,78405256.000,1809,363
163,78405320.000,1798,364
164,78405376.000,1779,383
165,78405440.000,1765,380
166,78405512.000,1754,406
167,78405592.000,1738,401
168,78405664.000,1711,443
169,78405712.000,1712,438
170,78405784.000,1698,425
171,78405840.000,1695,428
172,78405936.000,1649,473
173,78406008.000,1617,482
174,78406072.000,1596,485
175,78406128.000,1603,469
176,78406200.000,1595,487
177,78406296.000,1620,487
178,78406368.000,1634,469
179,78406432.000,1652,455
180,78406520.000,1704,423
181,78406592.000,1724,406
182,78406688.000,1735,389
183,78406760.000,1743,381
184,78406832.000,1731,379
185,78406896.000,1725,383
186,78406952.000,1727,368
187,78407016.000,1750,380
188,78407088.000,1740,380
189,78407144.000,1751,351
190,78407240.000,1758,364
191,78407296.000,1746,379
192,78407360.000,1177,425
193,78407416.000,905,461
194,78407512.000,805,484
195,78407584.000,668,468
196,78407640.000,649,491
197,78407704.000,638,494
198,78407760.000,485,474
199,78407808.000,513,470
200,78407880.000,565,457
201,78407960.000,575,450
202,78408032.000,601,470
203,78408088.000,603,491
204,78408104.000,602,480
205,78408104.000,602,480
206,78408104.000,602,480
207,78408104.000,602,480
208,78408104.000,602,480
209,78408104.000,602,480
210,78408104.000,602,480
211,78408104.000,602,480
212,78408104.000,602,480
213,78408752.000,619,464
214,78408816.000,621,452
215,78408856.000,634,459
216,78408936.000,679,497
217,78409008.000,676,490
218,78409088.000,676,483
219,78409144.000,675,480
220,78409200.000,680,500
221,78409264.000,710,489
222,78409336.000,702,472
223,78409432.000,678,453
224,78409456.000,698,476
225,78409560.000,721,457
226,78409608.000,718,469
227,78409680.000,690,463
228,78409744.000,693,453
229,78409800.000,691,400
230,78409864.000,676,335
231,78409936.000,676,298
232,78410016.000,655,208
233,78410056.000,650,180
234,78410160.000,640,161
235,78410208.000,668,143
236,78410288.000,659,108
237,78410344.000,658,94
238,78410400.000,663,67
239,78410464.000,682,67
240,78410544.000,738,72
241,78410632.000,774,77
242,78410704.000,815,112
243,78410776.000,829,134
244,78410840.000,848,168
245,78410896.000,898,168
246,78410960.000,890,171
247,78411056.000,902,180
248,78411104.000,918,209
249,78411184.000,909,213
250,78411240.000,912,210
251,78411320.000,900,213
252,78411376.000,919,222
253,78411456.000,936,254
254,78411528.000,940,261
255,78411592.000,948,255
256,78411648.000,937,216
257,78411712.000,937,212
258,78411784.000,943,226
259,78411856.000,931,201
260,78411904.000,938,205
261,78411976.000,953,175
262,78412040.000,951,208
263,78412096.000,968,178
264,78412160.000,962,167
265,78412232.000,977,186
266,78412296.000,982,208
267,78412352.000,1027,227
268,78412416.000,1259,240
269,78412456.000,1323,230
270,78412552.000,1344,238
271,78412616.000,1332,234
272,78412664.000,1352,224
273,78412744.000,1360,248
274,78412816.000,1355,250
275,78412912.000,1366,250
276,78412984.000,1409,260
277,78413040.000,1472,262
278,78413104.000,1468,275
279,78413160.000,1494,296
280,78413208.000,1497,301
281,78413304.000,1521,318
282,78413360.000,1535,334
283,78413432.000,1585,379
284,78413512.000,1663,442
285,78413568.000,1673,460
286,78413640.000,1705,450
287,78413704.000,1720,479
288,78413792.000,1717,483
289,78413856.000,1733,504
290,78413912.000,1750,510
291,78413960.000,1750,510
292,78414048.000,1762,504
293,78414104.000,1742,609
294,78414168.000,1718,669
295,78414240.000,1724,682
296,78414304.000,1728,677
297,78414360.000,1683,696
298,78414408.000,1722,695
299,78414496.000,1843,671
300,78414560.000,1857,677
301,78414616.000,1855,683
302,78414680.000,1819,685
303,78414736.000,1809,685
304,78414800.000,1868,712
305,78414856.000,1877,696
306,78414856.000,1877,696
307,78414856.000,1877,696
308,78415064.000,1836,649
309,78415128.000,1859,668
310,78415216.000,1898,664
311,78415280.000,1910,652
312,78415336.000,1934,634
313,78415416.000,1963,610
314,78415456.000,1953,609
315,78415528.000,1961,577
316,78415592.000,1921,593
317,78415648.000,1914,614
318,78415712.000,1881,627
319,78415760.000,1852,643
320,78415760.000,1852,643
321,78415760.000,1852,643
322,78415984.000,1735,749
323,78416056.000,1774,744
324,78416104.000,1810,763
325,78416160.000,1785,778
326,78416240.000,1778,777
327,78416296.000,1781,766
328,78416360.000,1815,790
329,78416432.000,1843,780
330,78416496.000,1866,734
331,78416552.000,1853,752
332,78416608.000,1856,745
333,78416656.000,1868,727
334,78416728.000,1919,668
335,78416808.000,1905,657
336,78416848.000,1900,657
337,78416928.000,1891,639
338,78416992.000,1909,631
339,78417048.000,1922,673
340,78417104.000,1923,674
341,78417168.000,1916,633
342,78417256.000,1893,650
343,78417320.000,1886,707
344,78417376.000,1921,684
345,78417440.000,1924,690
346,78417496.000,1887,705
347,78417560.000,1875,729
348,78417560.000,1875,729
349,78417560.000,1875,729
350,78417560.000,1875,729
351,78417824.000,1830,755
352,78417888.000,1821,768
353,78417944.000,1796,767
