time,id,x,y,z,dx,dy,dz,ddx,ddy,ddz,dddx,dddy,dddz,rbfva1,rbfva2,rbfva3,rbfaj1,rbfaj2,rbfaj3
0.000000,1,-1.832204,-3.700343,7.068694,8.505242,6.070786,-15.039044,14.735363,-24.122771,-0.686766,-263.190166,-377.519331,269.062598,0.013889,0.013918,0.013889,0.013889,0.013889,0.013889
0.033000,1,-1.544844,-3.514965,6.574065,8.840451,5.087448,-14.926313,5.055294,-34.176852,6.875755,-320.426255,-226.331161,201.824111,0.013889,0.013902,0.013889,0.013889,0.013889,0.013889
0.066000,1,-1.251915,-3.366861,6.086907,8.827335,3.857025,-14.600200,-6.247347,-38.978483,12.694576,-359.901373,-63.097071,164.300801,0.013889,0.014693,0.013889,0.013889,0.013889,0.013889
0.099000,1,-0.965707,-3.261277,5.613349,8.422695,2.557587,-14.100934,-18.494909,-38.376034,17.794914,-376.311952,96.991116,156.030526,0.013889,0.014693,0.013889,0.013889,0.013889,0.013889
0.132000,1,-0.699549,-3.197560,5.158777,7.608409,1.363849,-13.435862,-30.856509,-32.727058,23.046510,-365.850630,238.702772,168.647804,0.013889,0.014425,0.013889,0.013889,0.013889,0.013889
0.165000,1,-0.466901,-3.169549,4.728810,6.395599,0.430536,-12.588876,-42.406863,-22.873251,28.932034,-326.755429,348.366929,188.159878,0.013889,0.017605,0.013889,0.013889,0.013889,0.013889
0.198000,1,-0.280351,-3.166493,4.329845,4.826592,-0.122555,-11.536099,-52.201091,-10.063593,35.413053,-259.706219,415.366415,198.357927,0.013889,0.014006,0.013889,0.013889,0.013889,0.013889
0.231000,1,-0.150579,-3.174406,3.969009,2.974207,-0.222170,-10.264028,-59.359320,4.168053,41.920164,-168.003986,433.357058,184.656113,0.013889,0.013910,0.013889,0.013889,0.013889,0.013889
0.264000,1,-0.085401,-3.177752,3.653532,0.938191,0.151445,-8.785852,-63.153078,18.159214,47.468487,-57.487437,401.062927,137.577675,0.013919,0.014117,0.013889,0.013889,0.013889,0.013889
0.297000,1,-0.088973,-3.161248,3.389640,-1.161130,0.963123,-7.152082,-63.084368,30.292980,50.874363,63.831334,322.538194,55.184129,0.013919,0.013896,0.014132,0.013889,0.013889,0.013889
0.330000,1,-0.161241,-3.111640,3.181233,-3.191567,2.127170,-5.452785,-58.948224,39.171292,51.028688,186.397539,206.841088,-56.045553,0.013889,0.013889,0.014132,0.013889,0.013889,0.013889
0.363000,1,-0.297721,-3.019228,3.028640,-5.019489,3.517242,-3.810445,-50.870592,43.767814,47.170684,299.961698,67.130711,-182.075011,0.013889,0.014550,0.013889,0.013889,0.013889,0.013889
0.396000,1,-0.489627,-2.878988,2.927765,-6.521010,4.980702,-2.364407,-39.315550,43.542315,39.105220,394.564342,-80.733752,-303.759570,0.013889,0.014550,0.013889,0.013889,0.013889,0.013889
0.429000,1,-0.724381,-2.691165,2.869848,-7.592870,6.355949,-1.249613,-25.058968,38.502228,27.317276,461.552993,-219.947778,-400.423124,0.013889,0.013889,0.013890,0.013889,0.013889,0.013889
0.462000,1,-0.986455,-2.461268,2.841999,-8.161895,7.490787,-0.573620,-9.129412,29.202671,12.956643,494.514917,-334.675690,-453.877660,0.013889,0.013889,0.014187,0.013889,0.013889,0.013889
0.495000,1,-1.258490,-2.199462,2.828456,-8.192022,8.259756,-0.396350,7.279004,16.683259,-2.309006,490.011711,-411.899984,-452.105946,0.013889,0.013889,0.013890,0.013889,0.013889,0.013889
0.528000,1,-1.522605,-1.919434,2.812427,-7.688073,8.578383,-0.716666,22.913576,2.347631,-16.548874,448.019702,-442.978415,-391.881850,0.013889,0.013889,0.013889,0.013889,0.013889,0.013889
0.561000,1,-1.761758,-1.636858,2.778232,-6.695791,8.412655,-1.468708,36.578854,-12.201190,-27.886341,372.012102,-424.707655,-279.796147,0.013889,0.013889,0.014190,0.013889,0.013889,0.013889
0.594000,1,-1.961054,-1.367643,2.713375,-5.298064,7.782550,-2.529114,47.248935,-25.350562,-34.820378,268.661100,-359.746354,-131.453373,0.013889,0.013918,0.013928,0.013889,0.013889,0.013889
0.627000,1,-2.108866,-1.126165,2.610216,-3.607634,6.759144,-3.734267,54.163860,-35.670413,-36.490554,147.185206,-256.326693,31.047798,0.013889,0.013902,0.013927,0.013889,0.013889,0.013889
0.660000,1,-2.197662,-0.923705,2.466922,-1.757029,5.455613,-4.904756,56.899343,-42.084207,-32.834516,18.412560,-127.272843,182.907493,0.013894,0.013894,0.013889,0.013889,0.013889,0.013889
0.693000,1,-2.224472,-0.767270,2.287543,0.113272,4.013207,-5.872868,55.402081,-43.997181,-24.606226,-106.331935,11.564578,300.996584,0.013894,0.013894,0.013889,0.013889,0.013889,0.013889
0.726000,1,-2.190942,-0.658940,2.081179,1.867218,2.583894,-6.508236,49.986922,-41.365317,-13.249010,-216.384570,143.269535,367.991170,0.013889,0.013890,0.013889,0.013889,0.013889,0.013889
0.759000,1,-2.102989,-0.595818,1.860381,3.384834,1.311839,-6.737069,41.296655,-34.695827,-0.644795,-302.809015,251.971898,375.485689,0.013889,0.013952,0.013889,0.013889,0.013889,0.013889
0.792000,1,-1.970102,-0.570591,1.639070,4.571985,0.316017,-6.551487,30.229639,-24.978594,11.215411,-359.246623,324.838810,325.484392,0.013889,0.018252,0.013889,0.013889,0.013889,0.013889
0.825000,1,-1.804354,-0.572608,1.430325,5.367304,-0.323850,-6.007307,17.844127,-13.556933,20.579361,-382.456182,353.686750,229.972811,0.013890,0.014774,0.013889,0.013889,0.013889,0.013889
0.858000,1,-1.619250,-0.589355,1.244448,5.745714,-0.576258,-5.210745,5.250648,-1.954027,26.235259,-372.490238,336.001329,108.634488,0.013889,0.015875,0.014148,0.013889,0.013889,0.013889
0.891000,1,-1.428515,-0.608124,1.087621,5.718344,-0.460678,-4.296569,-6.495224,8.322735,27.711092,-332.502940,275.227882,-14.866014,0.013890,0.013949,0.014102,0.013889,0.013889,0.013889
0.924000,1,-1.244939,-0.617660,0.961384,5.329052,-0.043782,-3.401825,-16.488017,15.974262,25.334519,-268.231346,180.291553,-117.334453,0.013889,0.028894,0.013940,0.013889,0.013889,0.013889
0.957000,1,-1.079394,-0.609590,0.863005,4.648132,0.570339,-2.640082,-24.045841,20.074176,20.142599,-187.231352,64.407808,-180.387545,0.013889,0.021084,0.013889,0.013889,0.013889,0.013889
0.990000,1,-0.940089,-0.579433,0.786633,3.764038,1.254658,-2.081034,-28.755771,20.183853,13.659249,-97.975585,-56.661062,-193.855093,0.013977,0.021032,0.014189,0.013889,0.013889,0.013889
1.023000,1,-0.832127,-0.527081,0.724998,2.774118,1.876489,-1.739210,-30.488540,16.403298,7.583576,-8.930642,-166.673738,-157.594249,0.014582,0.016529,0.013901,0.013889,0.013889,0.013889
1.056000,1,-0.757366,-0.456690,0.671296,1.775378,2.315287,-1.573849,-29.383765,9.351531,3.449249,72.275741,-251.029103,-81.372447,0.014560,0.022078,0.019431,0.013889,0.013889,0.013890
1.089000,1,-0.714572,-0.376001,0.620896,0.856163,2.478647,-1.499778,-25.810312,0.079449,2.320403,139.508394,-298.657521,17.150364,0.013971,0.014013,0.017303,0.013889,0.013889,0.013889
1.122000,1,-0.699831,-0.295184,0.572523,0.089497,2.314430,-1.407063,-20.308842,-10.072953,4.582243,188.542111,-303.435973,115.941044,0.017645,0.018680,0.016981,0.013889,0.013889,0.013889
1.155000,1,-0.707134,-0.225374,0.528684,-0.471492,1.817468,-1.185512,-13.524877,-19.655887,9.865912,217.222419,-264.943248,192.924824,0.013893,0.018673,0.013942,0.013889,0.013889,0.013889
1.188000,1,-0.729087,-0.177079,0.495257,-0.795875,1.030014,-0.749214,-6.140750,-27.301745,17.120919,225.385460,-188.460156,230.285812,0.014606,0.014278,0.013902,0.013889,0.013889,0.013889
1.221000,1,-0.757653,-0.158681,0.480322,-0.875059,0.035950,-0.056336,1.186223,-31.904433,24.819819,214.582449,-84.220786,217.905665,0.013908,0.015327,0.013890,0.013889,0.013889,0.013889
1.254000,1,-0.784864,-0.175226,0.492460,-0.721051,-1.050446,0.879663,7.873933,-32.762617,31.254392,187.673816,33.979661,155.285817,0.013894,0.014863,0.013892,0.013889,0.013889,0.013889
1.287000,1,-0.803458,-0.227655,0.538860,-0.363317,-2.099623,1.989507,13.450945,-29.668419,34.865390,148.365623,150.630248,51.602304,0.015773,0.013889,0.015692,0.013889,0.013889,0.013889
1.320000,1,-0.807383,-0.312578,0.623582,0.155278,-2.983763,3.158341,17.576522,-22.930508,34.542271,100.756428,250.554175,-76.088285,0.028004,0.013889,0.015690,0.013889,0.013889,0.013889
1.353000,1,-0.792171,-0.422613,0.746327,0.782929,-3.593409,4.244707,20.046564,-13.329325,29.836182,48.948452,320.889813,-206.112685,0.018310,0.013889,0.013889,0.013889,0.013889,0.013889
1.386000,1,-0.755151,-0.547242,0.901944,1.463352,-3.851561,5.104640,20.788268,-2.011174,21.047266,-3.243781,352.741738,-316.256381,0.019438,0.013889,0.013889,0.013889,0.013889,0.013889
1.419000,1,-0.695530,-0.674068,1.080760,2.139903,-3.723413,5.616322,19.847008,9.664083,9.172405,-52.476936,342.287741,-387.849296,0.017058,0.013889,0.013889,0.013889,0.013889,0.013889
1.452000,1,-0.614342,-0.790308,1.269694,2.759191,-3.220524,5.700768,17.368939,20.301040,-4.273368,-95.964787,291.203013,-409.079961,0.013893,0.013889,0.013889,0.013889,0.013889,0.013889
1.485000,1,-0.514284,-0.884318,1.453937,3.274075,-2.398969,5.334855,13.582168,28.648707,-17.524804,-131.492121,206.355685,-376.930872,0.013893,0.013889,0.013889,0.013889,0.013889,0.013889
1.518000,1,-0.399474,-0.946967,1.618907,3.646042,-1.351796,4.554562,8.778329,33.758729,-28.870956,-157.389673,98.825765,-297.417676,0.013894,0.014069,0.013889,0.013889,0.013889,0.013889
1.551000,1,-0.275132,-0.972671,1.752145,3.847006,-0.196861,3.448178,3.295278,35.101497,-36.938630,-172.502576,-17.611097,-184.157917,0.013897,0.014067,0.013889,0.013889,0.013889,0.013889
1.584000,1,-0.147214,-0.959978,1.844826,3.860549,0.938270,2.141097,-2.499355,32.625660,-40.903688,-176.176889,-128.324615,-55.619396,0.013889,0.013898,0.014801,0.013889,0.013889,0.013889
1.617000,1,-0.022018,-0.911615,1.892661,3.682639,1.932364,0.775270,-8.224654,26.754364,-40.595355,-168.276024,-219.745831,68.361829,0.013890,0.013889,0.014801,0.013889,0.013889,0.013889
1.650000,1,0.094235,-0.834029,1.896076,3.321788,2.685383,-0.512785,-13.503958,18.320008,-36.480847,-149.224171,-281.103190,170.093871,0.013889,0.013932,0.013890,0.013889,0.013889,0.013889
1.683000,1,0.195804,-0.736468,1.859678,2.798615,3.130278,-1.611522,-17.984169,8.447420,-29.541049,-120.060492,-305.753276,236.908565,0.013889,0.015735,0.014190,0.013889,0.013889,0.013889
1.716000,1,0.277812,-0.629750,1.791165,2.144740,3.240247,-2.448268,-21.356775,-1.598062,-21.067740,-82.478692,-291.939859,262.912780,0.013920,0.014013,0.013889,0.013889,0.013889,0.013889
1.749000,1,0.336587,-0.524875,1.699884,1.400963,3.030640,-2.995554,-23.379678,-10.576883,-12.425324,-38.823568,-242.894968,249.373095,0.018286,0.018676,0.013889,0.013889,0.013889,0.013889
1.782000,1,0.369921,-0.431668,1.595330,0.614734,2.555384,-3.269507,-23.897912,-17.433807,-4.823082,7.980090,-166.285382,203.782225,0.019368,0.013896,0.040541,0.013889,0.013889,0.013889
1.815000,1,0.377244,-0.357624,1.485814,-0.163016,1.898569,-3.321366,-22.860753,-21.428206,0.862262,54.580811,-73.094718,137.910221,0.015557,0.017562,0.016500,0.013889,0.013889,0.013889
1.848000,1,0.359677,-0.307096,1.377508,-0.881527,1.162386,-3.224317,-20.332379,-22.219839,4.187398,97.436095,23.896422,65.314613,0.017636,0.020341,0.039322,0.013889,0.013889,0.013889
