%frameid,time(us),x(mm),y(mm),z(mm) 
926162,1994988474,-86.0908,-14.7917,313.295
926163,1994997885,-86.1898,-14.7448,313.134
926164,1995007295,-86.2596,-14.6922,312.983
926165,1995016670,-86.3549,-14.6269,312.818
926166,1995026181,-86.5023,-14.4904,312.351
926167,1995035572,-86.5235,-14.4165,311.886
926168,1995044969,-86.4524,-14.4027,311.223
926169,1995054474,-86.3779,-14.3853,310.751
926170,1995063858,-86.2543,-14.4222,310.133
926171,1995073372,-86.1704,-14.442,309.707
926172,1995082805,-86.1189,-14.4131,309.397
926173,1995092195,-86.158,-14.2033,309.164
926174,1995101655,-86.206,-14.019,308.911
926175,1995111068,-86.1033,-13.9125,308.246
926176,1995120522,-86.0601,-13.7893,307.721
926177,1995129901,-86.0548,-13.6693,307.305
926178,1995139368,-86.0295,-13.6167,306.964
926179,1995148817,-85.9978,-13.5812,306.696
926180,1995158236,-85.8998,-13.6289,306.339
926181,1995167670,-85.8186,-13.6515,306.096
926182,1995177043,-85.7632,-13.6487,306.007
926183,1995186557,-85.7643,-13.5702,305.995
926184,1995195971,-85.757,-13.3836,306.043
926185,1995205387,-85.7685,-13.2279,306.034
926186,1995214810,-85.7707,-12.7803,305.893
926187,1995224254,-85.7204,-12.363,305.737
926188,1995233696,-85.6077,-11.7545,305.24
926189,1995243155,-85.5241,-11.2074,304.85
926190,1995252592,-85.4375,-10.8127,304.637
926191,1995261959,-85.2872,-10.3302,304.684
926192,1995271441,-85.3529,-9.42355,304.169
926193,1995280878,-85.2644,-8.73741,303.842
926194,1995290287,-85.1923,-8.27468,303.634
926195,1995299740,-85.4363,-7.31991,303.694
926196,1995309190,-85.447,-6.58037,303.389
926197,1995318622,-85.4175,-6.00337,303.057
926198,1995327957,-85.408,-5.5998,302.66
926199,1995337497,-85.1917,-5.11643,301.795
926200,1995346867,-84.7635,-4.46821,300.487
926201,1995356334,-84.9818,-3.81184,300.282
926202,1995365827,-85.2604,-3.38132,300.051
926203,1995375169,-85.6779,-2.72018,299.793
926204,1995384707,-86.2948,-2.13653,299.213
926205,1995394002,-87.0841,-1.4201,298.292
926206,1995403533,-88.3719,-0.464048,297.052
926207,1995412952,-89.3313,-0.0206629,295.101
926208,1995422432,-90.4808,-0.0233985,293.725
926209,1995431766,-92.0761,0.59302,292.39
926210,1995441243,-94.4786,2.03192,290.899
926211,1995450584,-97.0666,3.49826,289.333
926212,1995460083,-99.5254,4.85034,286.043
926213,1995469558,-100.959,7.33542,282.165
926214,1995478979,-104.346,9.01957,281.383
926215,1995488421,-107.585,10.982,280.611
926216,1995497776,-110.017,12.7128,279.587
926217,1995507301,-112.653,14.6435,278.657
926218,1995516659,-115.443,17.4637,277.548
926219,1995526158,-117.253,21.1118,274.837
926220,1995535593,-118.735,25.5729,273.016
926221,1995545032,-121.495,30.6169,272.856
926222,1995554424,-123.465,35.0083,273.076
926223,1995563867,-124.477,38.5385,273.586
926224,1995573321,-125.198,43.6412,273.713
926225,1995582789,-125.803,48.9843,274.032
926226,1995592185,-126.113,54.6182,275.364
926227,1995601588,-125.857,60.0512,276.638
926228,1995611041,-124.842,64.2297,278.124
