%frameid,time(us),x(mm),y(mm),z(mm) 
932950,2120019090,-6.78589,-170.76,285.484
932951,2120028219,-6.73918,-170.615,285.365
932952,2120037514,-6.68671,-170.501,285.287
932953,2120046630,-6.56182,-170.534,285.474
932954,2120055925,-5.458,-172.027,286.446
932955,2120065198,-4.89085,-173.28,286.592
932956,2120074375,-4.94228,-173.211,286.426
932957,2120083620,-5.25754,-172.843,285.922
932958,2120092869,-5.34971,-172.745,285.816
932959,2120102132,-5.41482,-172.695,285.73
932960,2120111339,-5.44872,-172.671,285.701
932961,2120120535,-5.47271,-172.659,285.685
932962,2120129772,-5.28884,-172.977,285.918
932963,2120139008,-5.19307,-173.23,285.995
932964,2120148265,-4.95988,-173.612,286.192
932965,2120157472,-5.17468,-173.446,286.035
932966,2120166733,-5.17637,-173.455,286.079
932967,2120175899,-4.84867,-174.781,287.002
932968,2120185161,-4.6649,-175.623,287.493
932969,2120194421,-5.33382,-174.655,287.312
932970,2120203626,-5.71898,-174.13,287.586
932971,2120212800,-6.2741,-173.261,287.685
932972,2120222020,-6.53598,-172.778,287.875
932973,2120231292,-6.70063,-172.771,288.176
932974,2120240557,-7.31406,-171.839,287.955
932975,2120249751,-8.18006,-169.718,287.118
932976,2120259020,-8.89565,-167.918,287.194
932977,2120268243,-9.42739,-167.057,287.777
932978,2120277444,-9.99646,-166.342,288.244
932979,2120286680,-11.0607,-164.236,288.701
932980,2120295854,-12.731,-160.948,289.485
932981,2120305075,-13.6043,-158.216,289.173
932982,2120314348,-14.719,-154.102,288.786
932983,2120323616,-15.1706,-152.674,289.914
932984,2120332838,-16.3042,-148.783,290.066
932985,2120342078,-17.5951,-144.575,290.128
932986,2120351299,-18.8889,-139.892,290.289
932987,2120360510,-19.8392,-135.757,290.521
932988,2120369754,-20.7192,-131.1,290.557
932989,2120378943,-21.4997,-126.866,290.587
932990,2120388237,-21.9689,-122.863,290.522
932991,2120397452,-22.3102,-118.317,290.02
932992,2120406627,-22.9688,-114.045,290.204
932993,2120415893,-23.7114,-109.377,289.674
932994,2120425113,-24.5268,-104.777,289.523
932995,2120434371,-25.1909,-100.246,288.841
932996,2120443582,-26.0295,-94.9107,288.237
932997,2120452808,-26.6867,-90.0719,287.836
932998,2120462006,-26.9491,-85.1797,287.419
932999,2120471301,-27.4709,-79.7387,286.601
933000,2120480519,-28.0926,-74.3583,286.024
933001,2120489752,-28.9716,-68.9177,285.754
933002,2120498880,-29.6798,-63.7716,285.526
933003,2120508233,-30.3162,-58.9318,284.238
933004,2120517422,-31.0195,-53.5065,283.917
933005,2120545126,-32.9202,-34.3188,282.366
933006,2120554349,-33.3649,-29.5993,281.84
933007,2120563530,-33.7046,-24.5946,281.167
933008,2120582033,-33.5431,-14.0266,279.216
933009,2120591204,-33.5533,-9.12281,278.633
933010,2120600509,-33.2411,-4.11744,278.026
933011,2120609716,-33.229,1.52837,277.234
933012,2120618883,-33.0118,6.87619,276.201
933013,2120628202,-32.5981,11.6438,275.111
933014,2120637400,-32.0745,15.6623,274.105
933015,2120646618,-31.5618,20.253,273.492
933016,2120655881,-30.9395,23.6371,272.242
933017,2120665132,-30.2572,25.2777,271.569
933018,2120674263,-29.672,26.5679,271.135
933019,2120683563,-29.0954,27.8673,270.682
933020,2120692800,-28.5283,28.7101,270.278
933021,2120702047,-28.1168,29.0107,269.973
933022,2120711222,-27.7163,29.1822,269.766
933023,2120720528,-27.3016,29.2339,269.608
933024,2120729722,-26.6536,28.5495,269.438
933025,2120738894,-26.0744,27.6815,269.379
933026,2120748198,-25.1005,25.6409,269.337
933027,2120757410,-24.2206,22.8512,269.703
933028,2120766623,-23.3229,19.232,269.953
933029,2120775818,-22.5483,15.516,270.185
933030,2120785058,-21.776,12.0768,270.454
933031,2120794234,-21.1514,8.32915,270.831
933032,2120803579,-20.5871,4.06966,271.26
933033,2120812776,-19.7782,-0.568298,271.681
933034,2120821953,-19.0182,-5.72182,271.828
933035,2120831170,-18.5237,-10.7397,272.352
933036,2120840469,-17.8861,-15.8001,272.649
933037,2120849726,-17.2132,-21.6297,272.951
933038,2120858915,-16.6829,-27.2542,273.312
933039,2120868117,-15.9005,-33.0548,273.682
933040,2120877388,-15.4297,-39.2799,273.748
933041,2120886577,-14.6757,-45.5522,273.606
933042,2120895776,-13.8883,-52.0009,274.041
933043,2120905005,-13.1284,-58.3008,274.221
933044,2120914312,-12.5603,-64.7715,274.214
933045,2120923513,-11.8216,-70.7489,274.5
933046,2120932713,-11.1066,-77.3212,274.686
933047,2120941988,-10.2307,-83.8337,274.855
933048,2120951185,-9.37726,-89.8533,274.889
933049,2120960434,-8.46611,-95.7185,275.22
933050,2120969685,-7.54128,-101.654,275.256
933051,2120978832,-6.56294,-107.314,275.352
933052,2120988157,-5.72585,-113.204,275.307
933053,2120997360,-4.88111,-118.833,275.743
933054,2121006527,-3.86451,-124.189,275.787
933055,2121015791,-2.91926,-129.616,275.992
933056,2121025021,-2.268,-135.444,275.813
933057,2121034305,-1.23803,-141.087,275.859
933058,2121043482,-0.382512,-146.217,275.892
933059,2121052729,0.168119,-151.246,275.65
933060,2121062013,2.17913,-159.116,277.09
933061,2121071171,2.67453,-163.609,276.648
933062,2121080448,3.18915,-166.818,276.53
933063,2121089607,3.98677,-170.846,276.953
933064,2121098837,4.16583,-172.858,276.539
933065,2121108132,4.68134,-175.911,275.902
933066,2121117373,4.98692,-177.931,275.616
933067,2121126616,4.97346,-179.467,275.654
933068,2121135851,5.12031,-180.834,275.351
933069,2121145020,5.16319,-183.784,275.962
933070,2121154272,5.64374,-188.334,278.797
933071,2121163497,5.50242,-189.913,278.702
933072,2121172779,5.12096,-190.878,278.932
933073,2121181995,4.84375,-190.94,278.483
933074,2121191197,4.51012,-191.005,278.166
933075,2121200440,3.93795,-190.817,278.207
933076,2121209590,2.97244,-189.73,278.332
933077,2121218904,2.03688,-188.922,278.354
933078,2121228106,0.774425,-187.164,278.24
933079,2121237353,-0.200855,-185.026,277.141
933080,2121246543,-1.15362,-182.339,277.013
933081,2121255810,-2.30063,-177.312,275.913
933082,2121265009,-3.52624,-173.531,275.581
933083,2121274211,-4.82395,-170.07,275.797
933084,2121283452,-6.14557,-165.735,276.12
933085,2121292724,-7.29941,-160.834,276.042
933086,2121301984,-8.77172,-156.067,276.358
933087,2121311219,-10.6221,-151.389,277.14
933088,2121320421,-12.387,-147.324,278.473
933089,2121329639,-13.8256,-141.403,278.519
933090,2121338771,-15.3499,-135.592,278.8
933091,2121348048,-16.6263,-129.936,278.815
933092,2121357286,-17.9458,-123.783,278.836
933093,2121366600,-19.2024,-117.948,279.249
933094,2121375783,-20.5144,-112.215,279.335
933095,2121385047,-21.8921,-106.028,279.865
933096,2121394229,-23.4378,-99.3175,280.315
933097,2121403477,-24.7857,-92.6115,280.206
933098,2121412630,-26.0171,-86.3837,280.909
933099,2121421974,-27.2472,-80.6045,281.228
933100,2121431194,-28.4298,-73.963,281.535
933101,2121440384,-29.4529,-68.3315,281.545
933102,2121449665,-30.4888,-61.637,281.545
933103,2121458898,-31.505,-55.1048,281.467
933104,2121468122,-32.3676,-48.5368,280.368
933105,2121477313,-32.8451,-42.609,279.938
933106,2121486568,-33.4484,-36.367,279.57
933107,2121495725,-33.9169,-30.349,279.309
933108,2121505047,-34.4486,-23.9206,279.026
933109,2121514202,-34.9592,-17.4325,278.745
933110,2121523477,-35.1457,-12.1451,278.044
933111,2121532707,-35.2428,-6.4394,277.865
933112,2121541899,-35.2906,-0.609763,277.664
933113,2121551111,-35.2062,4.78636,277.353
933114,2121560377,-34.8745,9.62519,276.766
933115,2121569616,-34.6498,14.4006,276.43
933116,2121578778,-34.3911,19.5247,276.018
933117,2121588073,-33.9927,23.5574,275.548
933118,2121597246,-33.3927,26.9748,275.126
933119,2121606541,-32.8775,30.5375,274.499
933120,2121615683,-32.2973,33.616,274.002
