%frameid,time(us),x(mm),y(mm),z(mm) 
3496452,1906246967,1.25018,-85.4397,192.053
3496453,1906256844,2.19787,-80.2415,177.075
3496454,1906266662,3.2816,-71.6745,157.792
3496455,1906276494,4.40162,-60.4773,136.961
3496456,1906286390,5.75457,-48.249,118.035
3496457,1906296197,7.34388,-36.618,102.922
3496458,1906306070,8.39455,-26.3327,90.1456
3496459,1906316570,9.64458,-16.9418,80.8542
3496460,1906325650,10.457,-9.83337,76.3846
3496461,1906335537,10.3522,-3.36421,75.3483
3496462,1906345325,9.27227,2.43168,77.8336
3496463,1906355170,7.14612,7.47928,83.9496
3496464,1906364993,3.98422,11.7367,92.8286
3496465,1906374820,-0.00617861,14.9189,104.6
3496466,1906384661,-4.47665,17.1384,118.408
3496467,1906394517,-8.66477,17.8373,133.795
3496468,1906404373,-12.819,17.2417,150.94
3496469,1906414222,-16.5128,15.5895,168.758
3496470,1906424065,-19.8439,12.7203,186.941
3496471,1906433927,-22.9095,9.15623,205.999
3496472,1906443705,-25.7748,4.51612,224.492
3496473,1906453612,-28.3141,-0.743234,243.153
3496474,1906463399,-30.3684,-6.52892,260.701
3496475,1906473200,-32.3112,-11.8064,277.746
3496476,1906483106,-34.0623,-17.8933,293.465
3496477,1906492955,-35.2244,-24.9897,307.393
3496478,1906502676,-36.0147,-31.2942,320.521
3496479,1906512514,-36.5743,-38.104,332.361
3496480,1906522378,-37.2168,-44.7133,342.747
3496481,1906532225,-37.1951,-51.6007,352.03
3496482,1906542065,-37.4125,-58.4755,359.165
3496483,1906551934,-37.2514,-64.5265,364.763
3496484,1906561772,-36.7365,-70.2749,369.516
3496485,1906571634,-36.7199,-73.4773,373.695
3496486,1906581386,-36.4205,-76.1434,375.375
3496487,1906591287,-35.6573,-78.0916,374.958
3496488,1906601081,-35.1782,-78.6722,373.769
3496489,1906610892,-33.5413,-79.4335,369.04
3496490,1906620768,-32.1445,-78.2408,363.147
3496491,1906630617,-30.0811,-75.6536,356.239
3496492,1906640446,-28.6724,-70.7105,347.64
3496493,1906650338,-26.899,-64.3438,337.478
3496494,1906660175,-25.2825,-57.7465,326.019
3496495,1906670074,-23.4705,-49.6379,312.249
3496496,1906679844,-21.8838,-39.899,296.778
3496497,1906689684,-20.1923,-29.743,280.022
3496498,1906699454,-18.0716,-19.7686,260.925
3496499,1906709308,-16.2008,-9.47763,240.268
3496500,1906719170,-13.9861,-0.656581,218.576
3496501,1906728990,-11.4351,6.80688,196.831
3496502,1906738895,-8.23508,11.6835,174.587
3496503,1906748726,-4.91378,13.3253,155.299
3496504,1906758479,-1.67432,12.5531,139.255
3496505,1906768329,1.23712,9.93411,126.379
3496506,1906778171,3.82732,6.00255,117.747
3496507,1906788017,6.11243,0.865426,113.722
3496508,1906797809,7.65291,-5.19499,113.653
3496509,1906807659,9.01099,-11.8065,118.176
3496510,1906817546,10.1028,-19.4219,126.69
3496511,1906827391,10.6041,-28.1611,138.726
3496512,1906837181,10.5674,-37.8366,153.502
3496513,1906847037,10.5537,-48.8868,171.474
3496514,1906856826,10.3353,-61.2006,191.156
3496515,1906866686,9.89844,-75.4783,212.685
3496516,1906876540,9.30923,-91.5594,235.104
3496517,1906886461,9.12071,-109.487,258.085
3496518,1906896224,8.90051,-129.156,280.863
3496519,1906906035,9.49428,-149.992,303.08
3496520,1906915943,9.77148,-171.587,324.644
3496521,1906925736,10.0118,-194.18,344.221
3496522,1906935599,11.615,-217.757,361.252
3496523,1906945436,13.671,-243.435,376.6
3496524,1906955292,15.3823,-267.63,388.579
3496525,1906965103,17.9787,-290.532,397.261
3496526,1906974959,21.4967,-311.425,402.773
3496527,1906984734,25.4406,-332.662,407.543
3496528,1906994573,28.668,-351.244,409.14
3496529,1907004443,28.9402,-366.312,412.508
3496530,1907014309,26.9978,-376.945,415.431
3496553,1907260221,15.3126,3.90554,127.735
3496554,1907270014,12.1136,3.85285,127.033
3496555,1907279840,8.65475,4.85534,128.295
3496556,1907289700,4.14479,5.67012,132.624
3496557,1907299522,-1.086,6.04928,140.271
3496558,1907309322,-6.80724,5.47288,150.165
3496559,1907319230,-12.1913,4.00766,161.33
3496560,1907329076,-16.9901,1.56491,174.392
3496561,1907338879,-21.66,-1.7104,187.778
3496562,1907348749,-25.7198,-5.88715,201.985
3496563,1907358617,-30.1226,-10.1653,216.338
3496564,1907368419,-33.5116,-14.5333,229.844
3496565,1907378252,-36.7656,-19.0411,242.911
3496566,1907388119,-38.8636,-23.5601,254.598
3496567,1907397906,-40.7036,-28.298,265.589
3496568,1907407735,-41.9112,-33.0947,274.726
3496569,1907417575,-43.2178,-38.2386,283.537
3496570,1907437465,-44.6707,-47.6707,299.662
3496571,1907447059,-44.7375,-51.0634,304.223
3496572,1907456883,-44.3679,-54.5357,307.899
3496573,1907466791,-44.1438,-57.5007,311.126
3496574,1907476624,-43.6458,-59.2217,313.446
3496575,1907486470,-43.388,-60.2295,314.392
3496576,1907506130,-43.1311,-62.1203,313.956
3496577,1907515950,-42.0822,-63.055,312.155
3496578,1907525691,-40.112,-63.7409,307.168
3496579,1907535641,-38.201,-63.3853,302.009
3496580,1907545479,-36.7837,-63.4216,295.807
3496581,1907555276,-35.3434,-62.4864,289.252
3496582,1907565107,-33.4764,-60.6215,280.589
3496583,1907574913,-31.6844,-58.4179,270.943
3496584,1907584742,-30.2466,-55.3012,260.463
3496585,1907594626,-28.3872,-51.5135,248.549
3496586,1907604505,-26.6249,-47.2,234.386
3496587,1907614288,-25.0475,-42.3916,219.345
3496588,1907624180,-23.0931,-37.7689,202.619
3496589,1907633962,-21.0655,-32.6072,185.328
3496590,1907643820,-18.6111,-27.8257,167.413
3496591,1907653648,-15.8214,-23.8975,148.788
3496592,1907663476,-12.3125,-20.7373,131.274
3496593,1907673275,-8.50153,-18.5457,114.966
3496594,1907683164,-4.09662,-18.3802,101.061
3496595,1907692981,-0.422602,-19.4073,90.4677
