%frameid,time(us),x(mm),y(mm),z(mm) 
3500243,1952494044,235.625,-275.329,385.149
3500244,1952503602,235.428,-275.28,385.018
3500245,1952513229,234.566,-274.092,385.581
3500246,1952522830,234.194,-273.717,385.77
3500247,1952532535,233.125,-273.589,385.837
3500248,1952542102,232.375,-273.128,385.853
3500249,1952551776,230.042,-272.546,386.024
3500250,1952561324,228.611,-271.299,387.451
3500251,1952571058,227.124,-270.192,388.205
3500252,1952580583,226.317,-269.824,389.209
3500253,1952590224,225.135,-269.22,389.933
3500254,1952599844,224.921,-269.275,390.117
3500255,1952609460,223.385,-268.301,392.654
3500256,1952619201,221.194,-265.649,395.874
3500257,1952628824,219.557,-265.994,396.509
3500258,1952638432,218.343,-265.849,397.448
3500259,1952647989,216.605,-264.652,398.195
3500260,1952657617,214.622,-264.212,399.276
3500261,1952667341,213.138,-263.589,400.171
3500262,1952676972,211.398,-261.671,400.779
3500263,1952686580,209.653,-260.449,401.293
3500264,1952696156,207.507,-259.158,400.452
3500265,1952705838,205.391,-256.859,403.31
3500266,1952715490,203.455,-254.611,403.108
3500267,1952725051,200.662,-251.269,404.951
3500268,1952734694,197.193,-249.228,405.632
3500269,1952763570,186.458,-239.716,405.268
3500270,1952773140,184.038,-237.206,405.32
3500271,1952782830,180.95,-234.168,404.341
3500272,1952792507,175.559,-229.901,400.984
3500273,1952802146,171.494,-226.096,398.858
3500274,1952811765,166.869,-221.057,396.278
3500275,1952821384,162.852,-217.081,393.811
3500276,1952831028,156.02,-210.074,389.163
3500277,1952840653,150.789,-203.945,383.684
3500278,1952850264,145.7,-197.356,377.632
3500279,1952859863,139.523,-190.515,371.84
3500280,1952869534,134.441,-183.838,363.831
3500281,1952879138,127.871,-175.434,355.338
3500282,1952888733,122.096,-167.261,346.92
3500283,1952898409,115.746,-158.915,336.301
3500284,1952907960,109.253,-150.22,325.333
3500285,1952917686,102.814,-141.566,313.516
3500286,1952927304,95.8854,-131.392,301.581
3500287,1952936839,89.3645,-121.609,288.613
3500288,1952946474,82.8086,-112.109,275.059
