% Data output, Exercise:peg_board_level_1, Input:hydra
% Date:06/15/2015, Time:16:12:13
% time, tool1_x, tool1_y, tool1_z, tool2_x, tool2_y, tool2_z, tool1_q0, tool1_q1, tool1_q2, tool1_q3, tool2_q0, tool2_q1, tool2_q2, tool2_q3, master1_x, master1_y, master1_z, master2_x, master2_y, master2_z, master1_q0, master1_q1, master1_q2, master1_q3, master2_q0, master2_q1, master2_q2, master2_q3, master1_open, master2_open, foot_pedal, is_touch, tool1_jaw_interaction, tool1_aux_interaction, tool1_normal_force, tool1_shear_force, tool2_jaw_interaction, tool2_aux_interaction, tool2_normal_force, tool2_shear_force, tool3_interact
19.382999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.01734,-0.82862,-6.31795,-5.41293,3.69665,0.46357,-0.148602,0.599174,-0.126702,0.776437,0.027746,-0.105544,-0.020410,0.993818,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.400000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.02474,-0.82463,-6.31642,-5.41139,3.69706,0.46310,-0.148762,0.599087,-0.126418,0.776520,0.027715,-0.105568,-0.020499,0.993814,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.417000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967686,-0.189422,-0.000000,-0.114556,0.975191,10.02340,-0.82679,-6.31720,-5.41104,3.69701,0.46324,-0.148670,0.599140,-0.126569,0.776472,0.027719,-0.105565,-0.020515,0.993814,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.434000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,0.000000,-0.114556,0.975191,10.01943,-0.82904,-6.31886,-5.41084,3.69709,0.46313,-0.148649,0.599133,-0.126755,0.776451,0.027714,-0.105591,-0.020541,0.993811,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.450001,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.01590,-0.82890,-6.31787,-5.41230,3.69665,0.46366,-0.148592,0.599161,-0.126727,0.776445,0.027750,-0.105611,-0.020481,0.993809,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.466999,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,0.000000,-0.114556,0.975191,10.01046,-0.82618,-6.31510,-5.41329,3.69644,0.46387,-0.148608,0.599116,-0.126512,0.776512,0.027766,-0.105622,-0.020440,0.993808,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.483000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00819,-0.82567,-6.31582,-5.41270,3.69693,0.46314,-0.148703,0.599049,-0.126502,0.776546,0.027723,-0.105555,-0.020425,0.993817,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.500000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201019,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00979,-0.82690,-6.31590,-5.41272,3.69620,0.46432,-0.148624,0.599098,-0.126579,0.776512,0.027785,-0.105586,-0.020450,0.993811,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.517000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967686,-0.189422,0.000000,-0.114556,0.975191,10.01136,-0.82861,-6.31832,-5.41202,3.69646,0.46400,-0.148650,0.599120,-0.126722,0.776467,0.027764,-0.105563,-0.020469,0.993814,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
19.534000,0.75200,-1.49100,6.75000,-0.95900,-0.61200,5.01100,-0.201018,0.000000,0.152238,0.967685,-0.189422,-0.000000,-0.114556,0.975191,10.00923,-0.82720,-6.31733,-5.41152,3.69610,0.46466,-0.148694,0.599069,-0.126625,0.776513,0.027794,-0.105543,-0.020487,0.993815,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0
