% Data output, Exercise:myomectomy_closure_level_2, Input:mantis
% Date:06/16/2015, Time:19:41:34
% time, tool1_x, tool1_y, tool1_z, tool2_x, tool2_y, tool2_z, tool1_q0, tool1_q1, tool1_q2, tool1_q3, tool2_q0, tool2_q1, tool2_q2, tool2_q3, master1_x, master1_y, master1_z, master2_x, master2_y, master2_z, master1_q0, master1_q1, master1_q2, master1_q3, master2_q0, master2_q1, master2_q2, master2_q3, master1_open, master2_open, foot_pedal, is_touch, tool1_jaw_interaction, tool1_aux_interaction, tool1_normal_force, tool1_shear_force, tool2_jaw_interaction, tool2_aux_interaction, tool2_normal_force, tool2_shear_force, tool3_interact, tool3_normal_force, tool3_shear_force
25.108999,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,7.60085,1.04788,-7.28675,-7.88976,0.85972,-5.01963,0.157524,0.423366,0.410881,0.791912,-0.038045,-0.332957,-0.562413,0.755899,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.171000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,7.96318,1.10944,-6.85122,-7.91228,0.73823,-4.97442,0.118813,0.390949,0.434978,0.802394,-0.043539,-0.335211,-0.560300,0.756176,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.237000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.26991,1.13000,-6.50834,-7.93697,0.65104,-4.94125,0.087726,0.361589,0.452980,0.810165,-0.047603,-0.335895,-0.561796,0.754515,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.291000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.49369,1.05626,-6.36677,-7.96313,0.58223,-4.90825,0.055454,0.365524,0.461860,0.806227,-0.050312,-0.333866,-0.565108,0.752765,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.344000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,0.000000,-0.294798,0.923280,8.67731,0.95275,-6.26463,-7.98059,0.51699,-4.87582,0.031559,0.362070,0.466064,0.806656,-0.049798,-0.328099,-0.566922,0.753971,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.396000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,0.000000,-0.294798,0.923280,8.81256,0.89896,-6.15784,-7.98484,0.42086,-4.84449,0.011979,0.354704,0.471964,0.807026,-0.047001,-0.320307,-0.565440,0.758599,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.447001,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,0.000000,-0.294798,0.923280,8.89615,0.85792,-6.08338,-7.98365,0.31787,-4.81088,-0.000855,0.347981,0.476018,0.807661,-0.045250,-0.314083,-0.562884,0.763194,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.496000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.93916,0.81094,-6.02836,-7.96884,0.21188,-4.78247,-0.010644,0.345045,0.477146,0.808185,-0.044952,-0.311955,-0.557985,0.767669,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.547001,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,-0.000000,0.161343,0.961182,-0.246271,0.000000,-0.294798,0.923279,8.94644,0.74640,-5.98309,-7.95221,0.13823,-4.76295,-0.018198,0.345148,0.474664,0.809466,-0.043753,-0.309048,-0.554624,0.771342,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
25.598000,1.06748,13.88590,2.93325,-2.09450,13.52060,3.42886,-0.223823,0.000000,0.161343,0.961182,-0.246271,-0.000000,-0.294798,0.923280,8.91121,0.67962,-5.94570,-7.93114,0.08885,-4.75078,-0.023391,0.347602,0.470506,0.810710,-0.041921,-0.305597,-0.552339,0.774452,0.6000,0.6000,0,0,0,0,0,0,0,0,0,0,0,0,0
