%Time(ms),Error2,Error1,FirstTouch(m)
5599,78204.59375,457048.75,0
5600,205643.0313,823302.8125,0
5601,205803.2344,825576.0625,0
5601,206459.8281,826208.875,0
5603,206915.2344,826807.625,0
5604,207297.125,827632.6875,0
5605,207623.1406,828722.9375,0
5606,207909.3125,830115.875,0
5606,207925.5313,832093.375,0
5608,208419.5469,833955.625,0
5609,208904.625,836235.375,0
5610,209382.5938,838974,0
5611,209852.5469,842212.9375,0
5611,210087.3438,846217.125,0
5613,210750.9688,850357.8125,0
5614,211402.4375,855108.625,0
5615,212047.3906,860493.6875,0
5616,213109.7969,864280.6875,0
5616,213490.9063,874468.125,0
5618,215307.5781,877922.6875,0
5619,215823.2344,886768.1875,0
5620,216859.8281,894885.5,0
5621,217906.7656,903737.1875,0
5621,218749.125,913550.8125,0
5623,219973.2344,923750.0625,0
5624,221577.0625,932451.25,0
5625,222325.9063,945226.375,0
5626,223528.8438,957391.375,0
5626,224525.5156,970543.9375,0
5628,226148.2969,981955.5625,0
5629,226879.5781,997477.6875,0
5631,227618.0156,1014714.875,0
5631,229211.5,1029412.875,0
5632,231047.2656,1041795.375,0
5633,231585.6094,1059227.875,0
5634,232229.0625,1077861,0
5635,233703.4063,1093584.375,0
5636,234686.7656,1111093.625,0
5636,235129.4063,1131350,0
5638,236206.6406,1150715.25,0
5639,237589.6406,1168600.5,0
5640,238462.5625,1188256.875,0
5641,239329.8594,1208236.5,0
5641,239634.4219,1230897.125,0
5643,240990.8906,1250359.375,0
5644,241392.8438,1273783.375,0
5645,243040,1292015.625,0
5646,243174.5,1317443.25,0
5646,244218.7344,1338565,0
5648,244944.3281,1361183.5,0
5649,245628.3281,1384074.75,0
5650,246268.7031,1407230.5,0
5651,246865.9219,1430639.375,0
5651,247311.25,1454399,0
5653,247950.6094,1478152.125,0
5654,248557.7188,1502113.125,0
5655,248660.6094,1528397.875,0
5656,250012.4375,1549487.125,0
5656,250621.5938,1577684.125,0
5658,252007.625,1599002.625,0
5659,252020.4219,1625184.5,0
5660,252477.8906,1650082.875,0
5661,252869.3594,1675131.125,0
5661,253080.4375,1700429.125,0
5663,253927.2344,1723586.5,0
5664,253967.4375,1750127.125,0
5665,254358.0781,1775339.75,0
5666,254673.4844,1800651.625,0
5666,254795.3125,1826165.5,0
8875,1319.301392,1681.607544,0
8876,1653.560425,3284.990723,0
8876,1687.4729,5679.317871,0
8878,2809.232666,6771.945313,0
8879,3339.814697,7297.67334,0
8880,3798.802734,8049.785156,0
8881,3843.30957,11143.21484,0
