%Starting New File
%File Name="/sd/SoftTiss.csv"
%Strain,StrainDot,StrainDotDot
1.0921053,-0.6015055,10.7411699
0.0057143,6.5306311,-116.6184311
0.0171429,7.3469601,116.6183701
0.0285715,7.3469601,116.6183701
0.0342858,6.5306311,116.6183701
0.0457144,7.3469601,116.6183701
0.0514287,7.3469601,116.6183701
0.0571430,6.5306311,116.6183701
0.0685716,7.3469601,116.6183701
0.0742859,6.5306311,-116.6183701
0.0800002,6.5306311,-116.6183701
0.0914288,7.3469601,-116.6183701
0.0971431,6.5306311,-116.6183701
0.1028574,6.5306311,-116.6183701
0.1142852,7.3468332,-116.6183701
0.1199995,6.5305042,-116.6183701
0.1314281,7.3468332,116.6184311
0.1314281,7.3468332,116.6184311
0.1428567,7.3468332,116.6184311
0.1485710,7.3468332,116.6184311
0.1542853,7.3468332,116.6184311
0.1599996,6.5306311,116.6184311
0.1714282,7.3469601,116.6184311
0.1714282,5.7143021,-233.2368164
0.1828568,5.7143021,-233.2368164
0.1885711,4.8979731,-233.2368164
0.1885711,4.0816441,-233.2368164
0.1999997,4.8979731,-233.2368164
0.2057140,4.8979731,-233.2368164
0.2114283,4.0816445,-233.2368164
0.2171426,4.8979731,116.6183701
0.2171426,4.8979731,116.6183701
0.2228569,4.8979731,116.6183701
0.2285712,5.7143021,116.6183701
0.2342855,4.8979731,116.6183701
0.2457141,5.7143021,116.6183701
0.2457141,4.8979731,116.6183701
0.2514284,4.8979731,-0.0000000
0.2514284,4.8979731,-0.0000000
0.2571427,4.8979731,-0.0000000
0.2628570,4.8979731,-0.0000000
0.2685713,4.8979731,-0.0000000
0.2742856,4.0816445,-0.0000000
0.2742856,4.0816445,-0.0000000
0.2799999,4.0816445,-0.0000000
0.2799999,4.0816445,-0.0000000
0.2914285,4.8979731,-0.0000000
0.2914285,4.0816445,-0.0000000
0.2971429,4.0816445,-0.0000000
0.2971429,3.2653155,-0.0000000
0.3028572,4.0816445,-0.0000000
0.3085715,4.0816445,-0.0000000
0.3085715,4.0816445,-0.0000000
0.3142858,3.2653155,-0.0000000
0.3142858,3.2653155,-0.0000000
0.3200001,3.2653155,-0.0000000
0.3257143,4.0816445,-0.0000000
0.3257143,3.2653155,-0.0000000
0.3314287,3.2653155,-0.0000000
0.3314287,3.2653155,-0.0000000
0.3314287,2.4489865,-0.0000000
0.3371430,3.2653155,-0.0000000
0.3371430,2.4489865,-0.0000000
0.3428573,2.4489865,-0.0000000
0.3428573,2.4489865,-0.0000000
0.3428573,1.6326578,-116.6183929
0.3485716,1.6326578,-116.6183929
0.3485716,1.6326578,-116.6183929
0.3485716,0.8163289,-116.6183929
0.3542859,1.6326578,-116.6183929
0.3542859,0.8163289,-116.6183929
0.3600002,1.6326578,-116.6183929
0.3600002,1.6326578,-0.0000000
0.3657145,1.6326578,-0.0000000
0.3657145,1.6326578,-0.0000000
0.3657145,1.6326578,-0.0000000
0.3657145,0.8163289,-0.0000000
0.3657145,0.8163289,-0.0000000
0.3714288,0.8163289,-0.0000000
0.3714288,0.8163289,-0.0000000
0.3714288,0.8163289,-0.0000000
0.3714288,0.8163289,-0.0000000
0.3714288,0.8163289,-0.0000000
0.3714288,0.8163289,-0.0000000
0.3771431,1.6326578,-0.0000000
0.3771431,0.8163289,-0.0000000
0.3771431,0.8163289,-0.0000000
0.3828574,0.8163289,-0.0000000
0.3771431,-0.0000000,-0.0000000
0.3828574,0.8163289,-0.0000000
0.3828574,0.8163289,-0.0000000
0.3828574,-0.0000000,-0.0000000
0.3828574,-0.0000000,-0.0000000
0.3885717,0.8163289,116.6184082
0.3828574,0.8163289,116.6184082
0.3885717,2.4489865,116.6184082
0.3885717,1.6326578,116.6184082
0.3885717,1.6326578,116.6184082
0.3885717,1.6326578,116.6184082
0.3885717,1.6326578,116.6184082
0.3885717,0.8163289,-116.6184082
0.3885717,0.8163289,-116.6184082
0.3885717,-0.0000000,-116.6184082
0.3885717,-0.0000000,-116.6184082
0.3885717,-0.0000000,-116.6184082
0.3885717,-0.0000000,-116.6184082
0.3885717,-0.0000000,-116.6184082
