time,x_corr,y_corr,z_corr,Q1L,Q2L,dL,Q3L,QgL,FgL,Q1R,Q2R,dR,Q3R,QgR,FgR,xL,yL,zL,xR,yR,zR,toolPathL,toolPathR,toolSpeedL,toolSpeedR,toolAccL,toolAccR,toolJerkL,toolJerkR,toolPathCrvL,toolPathCrvR,dQ3L,dQgL,dFgL,dQ3R,dQgR,dFgR,dQ3Latan,dQ3Ratan,dxL,dyL,dzL,dxR,dyR,dzR,inputx,inputy,inputz,skillLevel
-2.343000,-1.832204,-3.700343,7.068694,4.788777,-14.791560,-10.763683,18.086490,2.923065,0.374011,-0.225488,-23.687930,-12.159196,26.414984,3.060040,0.623839,-3.968634,-0.038399,8.826739,2.361604,-1.317128,10.184933,16.005653,15.607333,20.078841,14.658744,-30.624024,41.026468,-1190.454290,-523.170157,0.084294,0.076878,113.425003,1.848351,-2.832940,16.046365,-4.591535,-1.950592,144.687719,25.068469,8.505242,6.070786,-15.039044,-4.387904,4.487031,-12.602052,-1.832204,-3.700343,7.068694,3.000000
-2.310000,-1.544844,-3.514965,6.574065,5.532020,-16.393518,-10.285683,21.488694,3.148366,0.284473,0.606171,-24.420809,-11.678754,26.718591,2.889662,0.555268,-3.681274,0.146979,8.332110,2.218921,-1.165020,9.753653,16.628109,16.094116,17.904594,15.641051,-63.907175,23.296536,-325.561230,-657.319158,0.100387,0.049191,84.810445,6.577896,-2.230211,3.629504,-3.657535,-2.116681,117.051613,5.699610,8.840451,5.087448,-14.926313,-4.299509,4.611404,-13.446031,-1.832204,-3.700343,7.068694,3.000000
-2.277000,-1.251915,-3.366861,6.086907,6.258143,-17.982277,-9.877346,23.621365,3.363118,0.229046,1.489514,-25.090428,-11.175696,26.669903,2.794201,0.484679,-3.388345,0.295083,7.844952,2.077000,-1.016643,9.301845,17.178601,16.581539,15.244641,16.291483,-53.898855,0.878531,565.056580,-671.864402,0.114171,0.072577,49.757271,4.388860,-1.055619,-3.891722,-0.151190,-2.027670,74.383344,-6.111129,8.827335,3.857025,-14.600200,-4.334296,4.285749,-13.849259,-1.832204,-3.700343,7.068694,3.000000
-2.244000,-0.965707,-3.261277,5.613349,6.967809,-19.506743,-9.501634,24.627236,3.409831,0.217488,2.392542,-25.733255,-10.687012,26.482567,2.860355,0.421227,-3.102137,0.400667,7.371394,1.932222,-0.885179,8.843762,17.599219,17.187893,14.063291,15.986356,-17.402749,-22.341803,793.440318,-490.950884,0.125837,0.102379,23.134701,0.189197,0.159076,-4.199099,4.755449,-1.698099,35.933302,-6.593450,8.422695,2.557587,-14.100934,-4.461416,3.618788,-13.831107,-1.832204,-3.700343,7.068694,3.000000
-2.211000,-0.699549,-3.197560,5.158777,7.662700,-20.911347,-9.109852,25.037246,3.324913,0.241783,3.282881,-26.378109,-10.230060,26.407799,3.102258,0.371959,-2.835978,0.464384,6.916822,1.782201,-0.779801,8.392801,18.083206,17.674484,14.458755,14.685927,7.448789,-34.817914,261.972380,-155.192866,0.138675,0.129681,10.902767,-1.442858,0.970124,3.078949,8.598251,-1.244185,17.082793,4.835425,7.608409,1.363849,-13.435862,-4.638457,2.741627,-13.424400,-1.832204,-3.700343,7.068694,3.000000
-2.178000,-0.466901,-3.169549,4.728810,8.342940,-22.139189,-8.670180,25.341114,3.265220,0.282578,4.129493,-27.042689,-9.809261,26.677761,3.437842,0.338407,-2.603331,0.492395,6.486855,1.626078,-0.705136,7.961063,18.563472,18.116242,15.031745,13.404666,-1.092661,-32.071542,-495.877754,130.989530,0.164070,0.152701,9.040069,1.125393,1.171257,15.982207,9.084451,-0.855918,14.175428,24.969318,6.395599,0.430536,-12.588876,-4.816864,1.794891,-12.675327,-1.832204,-3.700343,7.068694,3.000000
-2.145000,-0.280351,-3.166493,4.329845,9.004937,-23.135878,-8.199162,25.722508,3.373166,0.318702,4.904298,-27.731642,-9.425058,27.434343,3.723026,0.315002,-2.416780,0.495451,6.087890,1.464630,-0.661178,7.558912,19.090475,18.552622,14.512839,12.666674,-33.089108,-23.145482,-888.262536,179.605543,0.230665,0.169258,9.310976,6.018271,0.825601,30.069680,5.579935,-0.726970,14.598686,46.352627,4.826592,-0.122555,-11.536099,-4.947880,0.914892,-11.643461,-1.832204,-3.700343,7.068694,3.000000
-2.112000,-0.150579,-3.174406,3.969009,9.640087,-23.853815,-7.764322,26.074594,3.668224,0.335497,5.583659,-28.436367,-9.080154,28.641015,3.829080,0.290351,-2.287008,0.487538,5.727054,1.300174,-0.643656,7.194541,19.518700,18.953509,12.634599,12.066453,-64.086774,-18.713893,-761.095844,-12.927621,0.397783,0.176492,6.332251,9.484493,0.185983,39.354306,-0.212447,-0.972024,9.938181,59.888615,2.974207,-0.222170,-10.264028,-4.988312,0.220362,-10.401285,-1.832204,-3.700343,7.068694,3.000000
-2.079000,-0.085401,-3.177752,3.653532,10.234683,-24.256561,-7.441992,26.212433,4.028808,0.328863,6.149695,-29.136535,-8.782597,30.039541,3.723751,0.251166,-2.221831,0.484193,5.411577,1.136298,-0.644813,6.873564,19.941787,19.364782,10.045908,11.376306,-79.383694,-23.118421,-326.405489,-270.373247,0.778878,0.173401,0.882775,8.566635,-0.445741,38.885433,-4.828661,-1.568462,1.386637,59.217812,0.938191,0.151445,-8.785852,-4.905491,-0.198832,-9.032625,-1.832204,-3.700343,7.068694,3.000000
-2.046000,-0.088973,-3.161248,3.389640,10.771108,-24.322852,-7.260320,26.103950,4.269473,0.304173,6.591347,-29.803110,-8.542281,31.231002,3.511127,0.187455,-2.225403,0.500697,5.147685,0.977448,-0.654504,6.598680,20.153458,19.688817,7.516682,10.611133,-79.296340,-36.033782,244.314780,-334.656302,1.474503,0.178396,-2.422700,3.146538,-0.852601,27.766759,-4.677051,-2.350106,-3.805092,42.919053,-1.161130,0.963123,-7.152082,-4.680872,-0.289729,-7.629508,-1.832204,-3.700343,7.068694,3.000000
